,杭州,宁波,温州,绍兴,湖州,嘉兴,金华,衢州,舟山,台州,丽水,南京,无锡,徐州,常州,苏州,南通,连云港,淮安,盐城,扬州,镇江,泰州,宿迁,上海,
杭州,0,155.15,325.36,61.15,87.76,87.37,181.09,226.07,228.73,272.99,285.8,275.96,201.47,604.67,206,158.06,246.07,565.84,455.13,402.49,290.81,264.03,311.69,515.25,175.82,
宁波,154.24,0,268.14,114.43,240.29,153.18,245.49,322.25,86.07,178.12,315.45,428.49,270.5,729.19,311,227.09,311.43,654.12,552.72,471.52,417.19,385.47,380.72,639.48,218.61,
温州,325.84,267.17,0,312.29,412.1,382.21,233.34,284.07,370.4,131.54,124.24,600.31,499.52,929.01,540,456.12,544.13,883.14,779.48,700.54,615.15,588.37,609.74,839.59,478.04,
绍兴,62.25,115.76,323.62,0,148.3,118.4,197.91,274.67,189.34,233.6,302.62,336.5,235.72,665.21,276,192.31,280.32,619.34,515.67,436.73,351.34,324.57,345.93,575.78,206.85,
湖州,88.29,242.82,412.47,148.82,0,93.95,268.2,305.42,304.85,360.66,372.91,203.55,149.04,532.26,133,105.63,193.64,493.43,382.72,338.28,218.4,191.62,247.48,442.84,148.88,
嘉兴,89.11,147.86,383.27,118.81,104.09,0,239.01,315.77,221.01,323.56,343.72,289.91,126.54,585.23,167,83.13,171.14,510.16,408.76,327.55,273.22,241.51,236.75,495.52,98.32,
金华,182.68,234.52,231.68,179,268.95,239.05,0,94.8,322.77,215.17,119.92,457.15,356.37,785.86,397,312.96,400.97,739.99,636.32,557.39,471.99,445.22,466.59,696.44,327.5,
衢州,221.26,310.45,283.49,254.94,306.33,314.98,93.11,0,398.7,306.1,183.95,487.13,419.75,765.22,424,376.34,464.35,784.41,668.82,620.77,509.38,482.6,529.97,728.94,403.43,
舟山,228.86,95.52,370.62,189.05,314.91,219.5,321.58,398.34,0,280.6,394.27,500.19,336.82,795.51,377,293.41,377.75,720.44,619.04,537.84,483.51,451.79,447.04,705.8,284.93,
台州,273.56,177.47,132.77,222.59,359.61,322.91,216.01,306.31,280.7,0,216.95,547.81,440.22,876.52,481,396.82,481.15,823.84,722.45,641.24,562.65,535.88,550.44,787.1,388.33,
丽水,285.59,313.94,125.08,281.91,371.86,341.96,120.6,187.49,392.84,215.85,0,560.06,459.28,888.77,500,415.87,503.88,842.9,739.23,660.29,574.9,548.13,569.49,799.34,430.41,
南京,275.94,430.47,600.12,336.47,203.74,289.68,455.86,493.07,500.58,548.31,560.57,0,184.6,342.22,129,213.47,269.73,325.13,192.68,271.63,107.1,80.32,163.6,252.79,298.14,
无锡,200.6,263.35,498.76,234.3,146.78,125.59,354.5,417.45,336.5,439.05,459.21,184.14,0,481.84,61,40.82,123.07,406.77,305.38,224.17,167.45,135.73,133.37,392.14,134.05,
徐州,604.8,722.08,928.98,665.32,532.59,584.33,784.71,765.45,795.23,877.17,889.42,341.82,483.89,0,451,508.12,479.8,204.02,183.67,307.63,354.51,384.33,375.42,120.52,580.98,
常州,205,305,540,276,133,167,396,422,378,480,501,129,62,451,0,91,147,387,286,220,112,80,129,361,175,
苏州,158.14,220.89,456.31,191.84,104.32,83.14,312.04,374.99,294.04,396.59,416.75,212.54,49.16,507.85,90,0,107.41,432.78,331.39,250.18,195.85,164.14,159.38,418.15,106.03,
南通,245.86,304.64,544.03,279.57,192.04,170.86,399.76,462.71,377.79,480.34,504.47,268.32,122.54,481.05,145,108.08,0,358.7,304.58,194.4,167.8,190.99,126.23,391.34,127.12,
连云港,566.89,649.13,884.55,620.09,494.69,511.38,740.28,784.02,722.28,824.83,844.99,325.33,410.94,203.78,388,435.17,357.45,0,131.56,205.45,281.56,311.38,302.47,144.57,477.98,
淮安,455.77,546.74,779.95,516.3,383.57,408.99,635.69,672.9,619.9,722.45,740.4,192.79,308.56,183.85,286,332.79,304.46,130.94,0,132.3,179.18,208.99,200.08,94.15,405.64,
盐城,403.37,466.12,701.53,437.07,338.61,328.37,557.27,620.22,539.27,641.82,661.98,271.01,227.93,307.72,219,252.16,187.72,194.35,131.25,0,170.25,200.07,122.28,218.01,308.25,
扬州,291.69,411.78,615.87,352.21,219.48,274.03,471.6,508.82,484.93,564.06,576.31,105.56,168.95,353.06,113,197.82,174.86,277.99,176.6,167.49,0,36.17,68.51,263.36,274.06,
镇江,264.59,378.66,588.77,325.11,192.38,240.91,444.5,481.72,451.81,536.96,549.21,80.02,135.83,385.61,80,164.7,198.36,310.54,209.15,200.04,35.51,0,92.01,295.91,249.37,
泰州,312.74,375.49,610.9,346.44,247.98,237.74,466.64,529.59,448.64,551.19,571.35,160.85,137.3,375.18,128,161.53,135.18,300.11,198.71,121.7,68.28,91.46,0,285.47,234.38,
宿迁,515.83,632.82,840.01,576.36,443.63,495.07,695.75,732.96,705.98,788.2,800.46,252.85,394.64,109.43,362,418.87,390.54,144.67,94.41,218.37,265.26,295.07,286.16,0,491.72,
上海,177.9,213.73,479.46,207.6,148.76,98.62,327.8,404.56,286.89,389.44,432.51,296.93,133.55,580.13,174,104.91,126.11,477.45,403.66,313.16,273.23,248.52,231.65,490.42,0,
